Gravando log em: C:\Users\Thiago Borges\Desktop\teste\tcc\logs\vgg16\v1\log_treino_df.txt
Número de imagens no dataset de treino: 76507
Número de imagens no dataset de validação: 9563

Classes detectadas no treino: ['fake', 'real']
Mapeamento de classe para índice: {'fake': 0, 'real': 1}
GPU: NVIDIA GeForce RTX 3060
Class weights: [0.34072697 1.6592729 ]
Epoch 1/3 | Step 100/2391 | Loss 1.2392
Epoch 1/3 | Step 200/2391 | Loss 0.8019
Epoch 1/3 | Step 300/2391 | Loss 1.0882
Epoch 1/3 | Step 400/2391 | Loss 0.8441
Epoch 1/3 | Step 500/2391 | Loss 0.8110
Epoch 1/3 | Step 600/2391 | Loss 0.7518
Epoch 1/3 | Step 700/2391 | Loss 0.7472
Epoch 1/3 | Step 800/2391 | Loss 0.7247
Epoch 1/3 | Step 900/2391 | Loss 0.7330
Epoch 1/3 | Step 1000/2391 | Loss 0.7386
Epoch 1/3 | Step 1100/2391 | Loss 0.7178
Epoch 1/3 | Step 1200/2391 | Loss 0.7388
Epoch 1/3 | Step 1300/2391 | Loss 0.7245
Epoch 1/3 | Step 1400/2391 | Loss 0.7318
Epoch 1/3 | Step 1500/2391 | Loss 0.7297
Epoch 1/3 | Step 1600/2391 | Loss 0.7197
Epoch 1/3 | Step 1700/2391 | Loss 0.7048
Epoch 1/3 | Step 1800/2391 | Loss 0.6982
Epoch 1/3 | Step 1900/2391 | Loss 0.7151
Epoch 1/3 | Step 2000/2391 | Loss 0.7332
Epoch 1/3 | Step 2100/2391 | Loss 0.7226
Epoch 1/3 | Step 2200/2391 | Loss 0.7085
Epoch 1/3 | Step 2300/2391 | Loss 0.7085
[Val] Epoch 1 | Acc=0.7492
Epoch 2/3 | Step 100/2391 | Loss 0.7005
Epoch 2/3 | Step 200/2391 | Loss 0.7261
Epoch 2/3 | Step 300/2391 | Loss 0.7178
Epoch 2/3 | Step 400/2391 | Loss 0.7412
Epoch 2/3 | Step 500/2391 | Loss 0.7729
Epoch 2/3 | Step 600/2391 | Loss 0.7076
Epoch 2/3 | Step 700/2391 | Loss 0.7198
Epoch 2/3 | Step 800/2391 | Loss 0.7026
Epoch 2/3 | Step 900/2391 | Loss 0.7135
Epoch 2/3 | Step 1000/2391 | Loss 0.7386
Epoch 2/3 | Step 1100/2391 | Loss 0.7081
Epoch 2/3 | Step 1200/2391 | Loss 0.7277
Epoch 2/3 | Step 1300/2391 | Loss 0.6814
Epoch 2/3 | Step 1400/2391 | Loss 0.6669
Epoch 2/3 | Step 1500/2391 | Loss 0.6947
Epoch 2/3 | Step 1600/2391 | Loss 0.6816
Epoch 2/3 | Step 1700/2391 | Loss 0.7245
Epoch 2/3 | Step 1800/2391 | Loss 0.6905
Epoch 2/3 | Step 1900/2391 | Loss 0.6670
Epoch 2/3 | Step 2000/2391 | Loss 0.7037
Epoch 2/3 | Step 2100/2391 | Loss 0.6804
Epoch 2/3 | Step 2200/2391 | Loss 0.6604
Epoch 2/3 | Step 2300/2391 | Loss 0.6720
[Val] Epoch 2 | Acc=0.8287
Epoch 3/3 | Step 100/2391 | Loss 0.6762
Epoch 3/3 | Step 200/2391 | Loss 0.6776
Epoch 3/3 | Step 300/2391 | Loss 0.6630
Epoch 3/3 | Step 400/2391 | Loss 0.7080
Epoch 3/3 | Step 500/2391 | Loss 0.7352
Epoch 3/3 | Step 600/2391 | Loss 0.6991
Epoch 3/3 | Step 700/2391 | Loss 0.6853
Epoch 3/3 | Step 800/2391 | Loss 0.7127
Epoch 3/3 | Step 900/2391 | Loss 0.6547
Epoch 3/3 | Step 1000/2391 | Loss 0.6485
Epoch 3/3 | Step 1100/2391 | Loss 0.6600
Epoch 3/3 | Step 1200/2391 | Loss 0.6692
Epoch 3/3 | Step 1300/2391 | Loss 0.6485
Epoch 3/3 | Step 1400/2391 | Loss 0.6684
Epoch 3/3 | Step 1500/2391 | Loss 0.6359
Epoch 3/3 | Step 1600/2391 | Loss 0.6634
Epoch 3/3 | Step 1700/2391 | Loss 0.6788
Epoch 3/3 | Step 1800/2391 | Loss 0.6856
Epoch 3/3 | Step 1900/2391 | Loss 0.6759
Epoch 3/3 | Step 2000/2391 | Loss 0.6492
Epoch 3/3 | Step 2100/2391 | Loss 0.6484
Epoch 3/3 | Step 2200/2391 | Loss 0.6316
Epoch 3/3 | Step 2300/2391 | Loss 0.6764
[Val] Epoch 3 | Acc=0.8002
Melhor acc: 0.8287

Tempo total de treino: 26m 37s
